Branch_ID,True_Archetype,x1_OpCost,x2_Staff,z1_GreenDeposits,z2_ESGAccounts,y1_GreenRevenue,y2_CarbonNPL,E1_Input,E2_Input,E0_Input,E1_Output,E2_Output,E0_Output,E1_NonOriented,E2_NonOriented,E0_NonOriented,Slack_OpCost,Slack_Staff,Slack_Revenue,Slack_CarbonNPL,Reduct_%_OpCost,Reduct_%_Staff,Expand_%_Revenue,Mitigat_%_CarbonNPL
BR_013,Archetype_A,3.0411698630230126,23.107910876405832,7.238388079165746,193.24567380406586,5.651210820776243,1.0276400123549234,0.4439,0.3085,0.3762,0.4467,0.3322,0.3894,0.4358,0.3085,0.3722,1.329,15.1,0.0,0.978,43.7,65.5,0.0,95.2
BR_014,Archetype_A,2.193928422466142,14.293106361161405,8.312560493999348,201.81454335242884,8.928394933846686,0.9848232102391666,0.7356,0.4455,0.5906,0.7213,0.4971,0.6092,0.7012,0.4455,0.5734,0.227,5.1,0.0,0.907,10.4,36.0,0.0,92.1
BR_015,Archetype_A,1.7609978613371795,16.6138836853596,3.049455806691632,95.52156167934126,9.03484051061345,0.7373831949285456,0.3187,1.0,0.6594,0.3294,1.0,0.6647,0.318,1.0,0.659,0.98,13.0,0.0,-0.0,55.6,78.1,0.0,-0.0
BR_016,Archetype_A,1.719678730053763,17.433893739170365,4.8486527695594175,197.20115283186306,5.632845129444299,1.2925288602491931,0.6142,0.3499,0.482,0.5982,0.3757,0.487,0.5678,0.3499,0.4588,0.5,7.2,0.0,0.833,29.0,41.2,0.0,64.4
BR_017,Archetype_A,2.617977933974898,17.773275091296362,7.169705678970925,266.5330585179613,8.063648041526545,0.6577959881874531,0.6752,0.4063,0.5408,0.6353,0.4827,0.559,0.6141,0.4063,0.5102,0.438,7.6,0.0,0.651,16.7,42.9,0.0,99.0
BR_018,Archetype_A,2.4327317949342278,22.305988729632606,9.133225001146041,192.5929656029321,8.936366618149732,0.2566204121672291,0.6125,0.5006,0.5566,0.5725,0.595,0.5838,0.5632,0.5006,0.5319,0.644,7.3,0.0,0.249,26.5,32.7,0.0,97.2
BR_019,Archetype_A,1.3018196182588433,19.45376108155473,5.218786385750725,258.9164223990417,5.240689294360342,0.1799871354369207,0.8529,0.3203,0.5866,0.8517,0.451,0.6514,0.8156,0.3203,0.568,0.0,4.9,0.0,0.176,0.0,25.1,0.0,97.6
BR_020,Archetype_A,2.2206654579515908,23.95393333021405,5.584087014084909,291.94363982100015,7.278030889509193,0.8916030020678406,0.6611,0.3984,0.5297,0.5827,0.4563,0.5195,0.5456,0.3984,0.472,0.414,8.8,0.0,0.886,18.7,36.7,0.0,99.3
BR_021,Archetype_A,2.565499208812642,9.613620336789392,4.127303433237454,137.94028002471472,10.65767168662696,0.6572797725213607,0.4778,0.9968,0.7373,0.5067,0.9972,0.752,0.4574,0.9968,0.7271,1.437,4.4,0.0,0.0,56.0,45.4,0.0,0.0
BR_022,Archetype_A,1.6633329787161069,20.664938794595606,4.646181677952418,190.52744536730228,8.785367125223274,0.01,0.5547,0.8828,0.7188,0.5673,0.965,0.7662,0.5174,0.8828,0.7001,0.484,10.8,0.0,0.003,29.1,52.1,0.0,28.4
BR_023,Archetype_A,2.26546382768384,24.061799943053092,8.351630848605975,154.0996780599855,9.83854362269457,1.4925830107905318,0.5514,0.5369,0.5442,0.4896,0.6258,0.5577,0.4761,0.5369,0.5065,0.63,10.3,0.0,0.69,27.8,42.9,0.0,46.2
BR_024,Archetype_A,2.166299323246957,10.080205902081012,9.15621586352575,264.89615083073454,7.7346752661240155,0.8931763004116092,1.0,0.3316,0.6658,1.0,0.3885,0.6942,1.0,0.3316,0.6658,-0.0,-0.0,0.0,0.826,-0.0,-0.0,0.0,92.4
BR_025,Archetype_A,2.498115500471974,12.606322230723393,5.132675805170332,208.99033968422208,4.924445804888145,1.1392734122618566,0.6209,0.3086,0.4648,0.5535,0.3204,0.437,0.5462,0.3086,0.4274,0.789,4.7,0.0,0.737,31.6,36.9,0.0,64.7
BR_026,Archetype_A,2.261425949507733,20.80238195262198,8.892428557591165,238.1752863175974,6.926430581670699,1.2335679788321288,0.6841,0.3078,0.496,0.6905,0.3335,0.512,0.6735,0.3078,0.4906,0.158,11.0,0.0,1.173,7.0,52.9,0.0,95.1
BR_027,Archetype_A,1.5221248409298145,20.778016435709375,7.29188541327681,262.5224574311478,8.94842930218518,0.9123266166865074,0.8293,0.439,0.6342,0.8957,0.4961,0.6959,0.8233,0.439,0.6312,0.0,6.8,0.0,0.834,0.0,32.5,0.0,91.4
BR_028,Archetype_A,3.0900523722909408,18.937621170781895,7.777254643299817,183.94878579909206,7.056770952337932,1.2201338166869264,0.4994,0.375,0.4372,0.4841,0.4071,0.4456,0.4712,0.375,0.4231,1.25,10.4,0.0,1.158,40.5,54.8,0.0,94.9
BR_029,Archetype_A,2.677408815919429,10.06220130830356,7.112148100005519,296.34795498467304,4.588110155226271,0.8975018157143506,0.9425,0.2195,0.581,0.9571,0.252,0.6045,0.9158,0.2195,0.5676,0.231,0.0,0.0,0.894,8.6,0.0,0.0,99.6
BR_030,Archetype_A,0.9234989766439061,22.962348295194598,6.532893642810241,198.70444195940314,11.24367170076405,0.4284944313253343,1.0,0.6924,0.8462,1.0,0.8416,0.9208,1.0,0.6924,0.8462,0.0,-0.0,0.0,0.376,0.0,-0.0,0.0,87.8
BR_031,Archetype_A,2.2860769700286134,11.426188659065637,6.096854948168098,141.48167335987387,11.95592418738664,0.6078203404984462,0.5821,0.9371,0.7596,0.548,0.9618,0.7549,0.5423,0.9371,0.7397,0.844,4.7,0.0,0.115,36.9,41.3,0.0,18.9
BR_032,Archetype_A,1.444013775613307,12.125767826886175,7.37253432392149,233.38267287498087,11.394023271056907,0.769347249789914,1.0,0.5862,0.7931,1.0,0.6808,0.8404,1.0,0.5862,0.7931,0.0,-0.0,0.0,0.676,0.0,-0.0,0.0,87.9
BR_033,Archetype_A,1.6710422589904257,12.465385204079244,4.98143307372953,263.74498734493346,10.518196780302471,0.9260361588514701,0.9571,0.651,0.804,0.8462,0.7068,0.7765,0.8462,0.651,0.7486,0.0,0.0,0.0,0.737,0.0,0.0,0.0,79.6
BR_034,Archetype_A,3.224727362287461,22.535132765377465,4.233397194550332,153.6657651539568,5.360551679299385,1.0237437242396261,0.313,0.4079,0.3604,0.2977,0.4205,0.3591,0.2879,0.4079,0.3479,1.968,16.7,0.0,0.586,61.0,74.1,0.0,57.3
BR_035,Archetype_A,3.1675911451745273,18.622825884975587,6.263341745358309,257.77529405377965,12.276578268896618,0.01,0.5653,1.0,0.7827,0.5071,1.0,0.7535,0.4921,1.0,0.746,1.06,8.8,0.0,-0.0,33.4,47.3,0.0,-0.0
BR_036,Archetype_A,3.1183696180054836,18.144554498481746,7.753786745211351,282.6066221378807,4.331785224568317,0.5606356708227255,0.6428,0.2044,0.4236,0.6071,0.2523,0.4297,0.5902,0.2044,0.3973,0.807,7.4,0.0,0.557,25.9,40.7,0.0,99.4
BR_037,Archetype_A,2.300329178120152,13.817369851383576,4.838902174085221,127.10289669524504,11.07479794941576,1.0775058847814363,0.4314,0.8442,0.6378,0.4319,0.8986,0.6652,0.4203,0.8442,0.6322,1.155,8.5,0.0,0.174,50.2,61.4,0.0,16.1
BR_038,Archetype_A,1.5917327701172115,24.506569049690178,7.607877496420721,292.2602828904112,11.14517864870702,0.7144216858175783,0.8253,0.5203,0.6728,0.8899,0.6207,0.7553,0.8245,0.5203,0.6724,0.0,8.5,0.0,0.705,0.0,34.7,0.0,98.7
BR_039,Archetype_A,2.6385823699789537,15.656988572373484,9.149342491211925,104.04665052561397,9.158111903497744,0.14103713587413047,0.6633,1.0,0.8316,0.4212,1.0,0.7106,0.413,1.0,0.7065,0.474,5.6,0.0,-0.0,18.0,35.7,0.0,-0.0
BR_040,Archetype_A,2.2117056993432493,22.559064839264696,3.6916780273887864,152.09164419520212,11.268780945778676,1.4512526001669221,0.3662,0.8477,0.607,0.3557,0.928,0.6418,0.3371,0.8477,0.5924,1.271,14.7,0.0,0.393,57.5,65.0,0.0,27.1
BR_041,Archetype_A,1.8800048553642152,21.726877307933943,8.05266242808386,152.59662678923894,9.960677312771029,0.7737882041188925,0.6257,0.5796,0.6026,0.561,0.7052,0.6331,0.5424,0.5796,0.561,0.303,8.5,0.0,0.687,16.1,39.0,0.0,88.7
BR_042,Archetype_A,2.4874017602447114,13.43995753217357,6.03820868490604,265.838673680262,7.47323681743773,0.45027972687586215,0.762,0.4117,0.5868,0.6597,0.5272,0.5934,0.6451,0.4117,0.5284,0.313,3.3,0.0,0.444,12.6,24.7,0.0,98.6
BR_043,Archetype_A,1.8756957777129983,19.717361323124674,8.17551733778427,237.2832049020948,7.857586654065343,1.0583176224069455,0.7447,0.3698,0.5572,0.7746,0.4109,0.5928,0.7345,0.3698,0.5522,0.274,6.3,0.0,0.99,14.6,31.8,0.0,93.5
BR_044,Archetype_A,2.8587237731598205,9.201965398363384,5.336574539482497,143.90789234976694,10.061825325138742,1.266856622253286,0.5343,0.6746,0.6044,0.616,0.7189,0.6674,0.5211,0.6746,0.5978,1.596,3.3,0.0,0.446,55.8,36.2,0.0,35.2
BR_045,Archetype_A,1.7074255208172562,17.057387392805882,7.911428895686571,201.60172201119653,4.661733210056005,1.4316892811169835,0.7731,0.2346,0.5038,0.7731,0.244,0.5086,0.745,0.2346,0.4898,0.158,4.0,0.0,1.391,9.2,23.7,0.0,97.2
BR_046,Archetype_A,3.1343009110636633,15.059525696012045,7.770077440920901,226.27636752353501,8.397776143722997,0.4665897698455513,0.5803,0.4434,0.5118,0.5822,0.5438,0.563,0.5792,0.4434,0.5113,1.284,6.4,0.0,0.393,41.0,42.8,0.0,84.3
BR_047,Archetype_A,1.8026910148389446,11.128133696652387,9.204812068257528,127.70738713129911,12.559122184733335,0.6808358986507569,0.9577,1.0,0.9788,0.7925,1.0,0.8962,0.7925,1.0,0.8962,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
BR_048,Archetype_A,3.093742329928693,23.901022195396227,7.0799712505545145,266.74330400266183,6.794468131944211,1.4876669112880982,0.5388,0.322,0.4304,0.5057,0.3311,0.4184,0.4907,0.322,0.4064,0.912,13.8,0.0,0.933,29.5,57.5,0.0,62.7
BR_049,Archetype_A,3.1555026810378344,16.338052848935106,7.577617648061331,261.96754407315717,10.179955092752024,0.014448603523982473,0.6246,0.6918,0.6582,0.5969,0.8024,0.6996,0.5873,0.6918,0.6396,1.013,6.4,0.0,0.006,32.1,39.0,0.0,42.6
BR_050,Archetype_A,2.426639212447815,17.643650379965102,6.592319812246611,194.034803613466,10.44692284149883,1.0853456977975515,0.5345,0.6014,0.568,0.5472,0.627,0.5871,0.5316,0.6014,0.5665,0.84,10.3,0.0,0.931,34.6,58.2,0.0,85.8
BR_051,Archetype_A,3.0869129281172096,23.29732573094328,8.488211399417128,282.4185034450536,12.773696649771898,0.01,0.5895,1.0,0.7948,0.5792,1.0,0.7896,0.5625,1.0,0.7812,0.777,12.6,0.0,0.0,25.2,53.9,0.0,0.0
BR_052,Archetype_A,3.0810236261560577,20.4190994605732,6.383838151049584,184.09314672706435,10.344867190079874,1.564706562026469,0.4168,0.5602,0.4885,0.4294,0.5834,0.5064,0.4165,0.5602,0.4884,1.571,13.4,0.0,0.72,51.0,65.6,0.0,46.0
BR_053,Archetype_A,3.181624890247048,13.419918365866945,5.485552675965229,302.0350194496707,8.171476722775456,0.6321313480759831,0.753,0.4462,0.5996,0.59,0.5547,0.5723,0.5624,0.4462,0.5043,0.712,1.9,0.0,0.625,22.4,14.4,0.0,98.9
BR_054,Archetype_A,3.658919744192079,21.444403821982608,7.91205091108262,251.03663128005022,12.024016577954843,1.0320346940706142,0.4955,0.5659,0.5307,0.4935,0.632,0.5628,0.4801,0.5659,0.523,1.606,11.9,0.0,0.927,43.9,55.5,0.0,89.8
BR_055,Archetype_A,3.378441939093555,18.691838853605258,7.762251403509553,230.9115875602716,11.74290329668623,0.23845191252195164,0.512,0.6359,0.574,0.519,0.8167,0.6679,0.5074,0.6359,0.5716,1.49,9.9,0.0,0.214,44.1,53.0,0.0,89.9
BR_056,Archetype_A,3.6931842363003855,14.884404574030272,6.941620680199553,142.81993708358027,6.4381802233173095,0.3496430624262611,0.4526,0.4441,0.4484,0.4231,0.5361,0.4796,0.3982,0.4441,0.4212,2.051,7.2,0.0,0.293,55.5,48.7,0.0,83.9
BR_057,Archetype_A,1.680642742399894,13.059713083071717,4.865911177119793,286.1847992596719,8.72254446768643,0.01,1.0,0.755,0.8775,1.0,0.9128,0.9564,1.0,0.755,0.8775,0.0,0.0,0.0,0.003,0.0,0.0,0.0,28.9
BR_058,Archetype_A,1.7457500061052733,20.365043554507498,7.566550051410391,225.81095306957744,9.572811267485527,0.4934877180938495,0.7159,0.5098,0.6128,0.762,0.6232,0.6926,0.7085,0.5098,0.6092,0.264,7.9,0.0,0.41,15.1,38.9,0.0,83.0
BR_059,Archetype_A,1.8500892708727186,19.122648987740366,6.704072690846478,105.29619510740717,7.186166390953262,0.43407425563519464,0.545,0.5666,0.5558,0.4345,0.7359,0.5852,0.4266,0.5666,0.4966,0.537,8.1,0.0,0.371,29.0,42.3,0.0,85.5
BR_060,Archetype_A,1.6615112468564062,18.06188364869914,8.230202822586888,92.20249599259414,9.568553741545482,0.7991007037290622,0.7315,1.0,0.8658,0.4625,1.0,0.7312,0.4495,1.0,0.7248,0.05,4.5,0.0,0.0,3.0,25.1,0.0,0.0
BR_061,Archetype_A,2.4918889923317904,21.999448538845304,3.6107963755241617,234.0619775149977,8.395431720992288,1.3712820412324822,0.5186,0.5546,0.5366,0.3777,0.6641,0.5209,0.362,0.5546,0.4583,0.578,13.1,0.0,0.686,23.2,59.5,0.0,50.0
BR_062,Archetype_A,1.6768216910432807,20.37232786847219,7.449877257633858,200.1997283017332,6.773246089454447,1.2022453842294611,0.699,0.3561,0.5276,0.7236,0.3712,0.5474,0.6757,0.3561,0.5159,0.218,8.1,0.0,1.143,13.0,39.9,0.0,95.1
BR_063,Archetype_A,3.4056943046885526,12.472614751265937,9.872764790883446,257.1577715378575,9.731911899046775,1.0111025965328613,0.7649,0.4012,0.5831,0.8257,0.4618,0.6438,0.7378,0.4012,0.5695,1.07,1.6,0.0,0.926,31.4,12.9,0.0,91.6
BR_064,Archetype_A,2.1491317026419536,14.415140724958807,3.229873631045616,281.501753460003,11.044080415907183,0.5870041391735377,0.8302,1.0,0.9151,0.4672,1.0,0.7336,0.461,1.0,0.7305,0.0,2.6,0.0,-0.0,0.0,18.3,0.0,-0.0
BR_065,Archetype_A,1.9065632597841158,14.728292136058249,9.074501017539495,147.45935294672609,8.518931992284235,1.130590661253304,0.8045,0.4676,0.636,0.6584,0.5767,0.6176,0.6563,0.4676,0.5619,0.0,1.5,0.0,1.056,0.0,10.4,0.0,93.4
BR_066,Archetype_A,2.231187216784958,19.052676947300164,6.0332895251622425,229.6034816621168,4.319780310913034,0.9644971865753175,0.6106,0.2481,0.4294,0.5765,0.2683,0.4224,0.5615,0.2481,0.4048,0.354,10.3,0.0,0.927,15.8,54.1,0.0,96.1
BR_067,Archetype_A,1.6391504396422476,9.801623465279116,8.60249234031417,155.80939710729865,3.2159222985271527,0.2762906221646134,1.0,0.2015,0.6008,1.0,0.246,0.623,1.0,0.2015,0.6008,0.0,0.0,0.0,0.248,0.0,0.0,0.0,89.8
BR_068,Archetype_A,3.3268426809216654,18.089913169962564,7.4485450050954825,297.8791302105203,7.6248482921112455,1.4434530568748434,0.645,0.346,0.4955,0.5835,0.3588,0.4712,0.5704,0.346,0.4582,0.891,6.8,0.0,1.377,26.8,37.3,0.0,95.4
BR_069,Archetype_A,2.066645531727005,23.06460810235757,5.973710008005275,248.59641961481125,12.348912126815154,0.5786753839355124,0.611,0.745,0.678,0.6063,0.8544,0.7304,0.5635,0.745,0.6542,0.528,10.1,0.0,0.443,25.6,44.0,0.0,76.5
BR_070,Archetype_A,3.684353137734913,21.270657002290438,6.544382191149218,219.9018046508291,7.397163432491725,0.9096988388003735,0.43,0.4111,0.4206,0.419,0.4539,0.4364,0.4078,0.4111,0.4094,1.886,12.9,0.0,0.845,51.2,60.7,0.0,92.9
BR_071,Archetype_A,3.590044148360157,15.600530241048785,8.978408178584,227.56608993722648,10.09340409681689,1.5171536624006388,0.5972,0.4499,0.5236,0.5918,0.4739,0.5329,0.5722,0.4499,0.511,1.466,5.7,0.0,1.429,40.8,36.6,0.0,94.2
BR_072,Archetype_A,2.913096449576078,22.824370585155965,6.683131090145176,163.32244622477657,6.495162312013732,0.37652588187701286,0.413,0.4284,0.4207,0.4044,0.5215,0.463,0.3962,0.4284,0.4123,1.332,15.5,0.0,0.32,45.7,67.8,0.0,84.9
BR_073,Archetype_A,1.3812478511156474,14.952270539688055,5.816777017213785,190.3847608338303,8.121661266842038,1.4328387616884612,0.7508,0.4616,0.6062,0.7958,0.468,0.6319,0.7446,0.4616,0.6031,0.203,5.1,0.0,0.77,14.7,33.8,0.0,53.7
BR_074,Archetype_A,3.0485761700714664,20.682605647405254,7.017477918005065,228.28607051859902,11.675624086295109,0.6538054802070041,0.5065,0.6354,0.571,0.5018,0.7451,0.6235,0.486,0.6354,0.5607,1.182,12.0,0.0,0.587,38.8,58.0,0.0,89.8
BR_075,Archetype_A,2.337698108621715,10.597863298744748,7.065402173626845,198.21655333032126,9.76392324731238,1.1633418447120167,0.7199,0.5318,0.6258,0.7227,0.5536,0.6382,0.7134,0.5318,0.6226,0.666,2.8,0.0,1.078,28.5,26.6,0.0,92.7
BR_076,Archetype_A,3.434305238527431,14.084597993958868,8.149432951386093,173.7097405791818,6.2090733544851515,0.5549626561156096,0.5686,0.348,0.4583,0.5377,0.4168,0.4772,0.5084,0.348,0.4282,1.506,5.1,0.0,0.501,43.9,36.3,0.0,90.2
BR_077,Archetype_A,3.562299419077686,18.619872142556503,7.328600674591161,221.0286740511464,7.572146830577602,1.1086711430657907,0.4759,0.3886,0.4322,0.4776,0.4174,0.4475,0.4696,0.3886,0.4291,1.755,10.2,0.0,1.042,49.3,54.8,0.0,94.0
BR_078,Archetype_A,1.3012308410483593,15.778135278757045,5.751137399208342,274.81700530718683,5.636207730810389,0.436548637861053,1.0,0.3137,0.6568,1.0,0.4073,0.7036,1.0,0.3137,0.6568,0.0,-0.0,0.0,0.432,0.0,-0.0,0.0,98.9
BR_079,Archetype_A,2.4639877952930034,10.955768466591378,7.737232633137476,201.40486833535599,7.32693771078021,0.691190301513259,0.7445,0.3895,0.567,0.7365,0.4581,0.5973,0.7201,0.3895,0.5548,0.633,2.4,0.0,0.627,25.7,22.3,0.0,90.7
BR_080,Archetype_A,2.218566437842304,19.201177707786304,4.482524141434861,136.35795435832947,8.65926863496914,0.3929849324486007,0.3797,0.8315,0.6056,0.3854,0.8954,0.6404,0.3767,0.8315,0.6041,1.103,14.0,0.0,0.199,49.7,73.0,0.0,50.5
BR_081,Archetype_A,3.316722159550737,23.432081064755437,6.267021221479059,240.81985328612154,6.676084002742187,1.7766175028863416,0.4707,0.3198,0.3952,0.4377,0.3441,0.3909,0.423,0.3198,0.3714,1.347,14.3,0.0,1.232,40.6,60.9,0.0,69.3
BR_082,Archetype_A,3.0855568266857714,16.11100039940303,4.048868565085989,262.43029278085993,7.772242670127971,1.3870359684736928,0.6128,0.4728,0.5428,0.4119,0.5573,0.4846,0.4059,0.4728,0.4394,0.939,6.1,0.0,0.753,30.4,38.0,0.0,54.3
BR_083,Archetype_A,2.2317292545018868,21.921929805581264,5.249838169197516,113.53366503923006,8.291745610975763,1.1805164179963383,0.3766,0.6262,0.5014,0.3566,0.7195,0.538,0.3469,0.6262,0.4866,1.203,13.3,0.0,0.504,53.9,60.6,0.0,42.7
BR_084,Archetype_A,1.1403747436283516,15.314817959530389,6.253131513260524,114.8585588054504,11.507092229434614,0.9703927249049231,0.8132,1.0,0.9066,0.7041,1.0,0.852,0.6874,1.0,0.8437,0.0,2.1,0.0,0.0,0.0,13.9,0.0,0.0
BR_085,Archetype_A,2.5417036003596705,16.270375356663465,6.5995012064391085,125.0914785470794,10.03976556314143,0.08776008080248135,0.4825,1.0,0.7412,0.4307,1.0,0.7154,0.4199,1.0,0.71,0.98,9.0,0.0,-0.0,38.6,55.3,0.0,-0.0
BR_086,Archetype_A,2.6804089086591745,10.845684528477074,7.542461639066374,138.57046141989343,5.254478342404119,0.5842055907125319,0.6655,0.3363,0.5009,0.5849,0.4186,0.5018,0.5559,0.3363,0.4461,0.896,2.5,0.0,0.538,33.4,23.4,0.0,92.1
BR_087,Archetype_A,3.2530127826281463,9.217026919520059,6.220366307580391,196.85069594986908,10.690401998219615,0.5339808150536367,0.6392,0.6694,0.6543,0.7763,0.7899,0.7831,0.6245,0.6694,0.647,1.643,1.7,0.0,0.484,50.5,18.7,0.0,90.6
BR_088,Archetype_A,2.3933160379258585,22.536913950086607,7.5141816828881876,231.16436300560252,7.17428186676873,0.44475214162820637,0.5729,0.384,0.4784,0.5917,0.4726,0.5322,0.572,0.384,0.478,0.503,13.7,0.0,0.439,21.0,61.0,0.0,98.7
BR_089,Archetype_A,2.973953715287082,20.69452230183728,4.484158700254848,216.8145276300085,7.17721194935977,0.2783801459786739,0.4624,0.5109,0.4866,0.3867,0.6813,0.534,0.3724,0.5109,0.4416,1.201,12.4,0.0,0.273,40.4,60.1,0.0,97.9
BR_090,Archetype_A,1.9922586290756867,15.95085475018145,5.126178097378636,214.14456057319796,11.435391123952112,0.5430607875389267,0.6502,0.845,0.7476,0.5858,0.905,0.7454,0.5687,0.845,0.7068,0.241,7.8,0.0,0.252,12.1,48.9,0.0,46.5
BR_091,Archetype_A,2.047179435848921,16.25865690888885,5.553346876781882,167.4009637547322,11.38075383190457,0.5014011382680033,0.5257,0.9165,0.7211,0.5318,0.9468,0.7393,0.5194,0.9165,0.718,0.678,9.9,0.0,0.126,33.1,60.8,0.0,25.1
BR_092,Archetype_A,3.433845383407551,26.90133850910666,5.533905321351077,268.3925344410375,12.020336297231744,0.5881699968464433,0.4679,0.7464,0.6072,0.3938,0.8494,0.6216,0.3807,0.7464,0.5636,1.239,16.7,0.0,0.43,36.1,62.0,0.0,73.2
BR_093,Archetype_A,3.1913645948563754,16.61075012360735,6.860943829743657,210.52462722572898,9.659163271563736,0.8782950986454643,0.5054,0.5311,0.5182,0.5041,0.5943,0.5492,0.4959,0.5311,0.5135,1.47,8.6,0.0,0.794,46.1,51.8,0.0,90.4
BR_094,Archetype_A,2.9987686291237967,20.1379620490795,8.377164298106338,287.1580362004176,6.698698453899457,0.3150000968536088,0.6456,0.305,0.4753,0.627,0.402,0.5145,0.6068,0.305,0.4559,0.65,9.2,0.0,0.31,21.7,45.7,0.0,98.3
BR_095,Archetype_A,2.694877923917372,16.342621177064423,7.155311961324167,234.0306197024829,10.66740953918281,1.3542692032659784,0.6152,0.5389,0.5771,0.6069,0.5469,0.5769,0.5891,0.5389,0.564,0.781,7.4,0.0,1.261,29.0,45.5,0.0,93.1
BR_096,Archetype_A,2.5459359337001053,18.335527463501172,5.908937849779413,166.21595681125405,7.812725278417942,0.7469684964549534,0.4485,0.5154,0.482,0.4585,0.574,0.5162,0.4456,0.5154,0.4805,1.148,11.8,0.0,0.679,45.1,64.5,0.0,90.9
BR_097,Archetype_A,1.9975172360774698,7.694757997797957,5.304513467713527,240.89577295653524,10.4038967484744,1.943071529053314,1.0,0.5185,0.7592,1.0,0.5961,0.798,1.0,0.5185,0.7592,-0.0,0.0,0.0,1.094,-0.0,0.0,0.0,56.3
BR_098,Archetype_A,2.0463697369197957,23.283493478670376,8.6943163987912,162.3134562523653,7.541998348445865,0.30738773236266503,0.6219,0.4545,0.5382,0.554,0.5543,0.5542,0.5365,0.4545,0.4955,0.343,9.0,0.0,0.241,16.8,38.6,0.0,78.6
